date,close,volume,open,high,low
12/6/2016,50.57,12485430,50.83,51.1,50.26
12/5/2016,51.85,12009070,50.8,52.27,50.7
12/2/2016,50.46,6933086,50.26,50.68,50.105
12/1/2016,50.65,7609690,50.11,51.25,50.06
11/30/2016,50.07,8168380,50.52,50.81,50.07
11/29/2016,50.63,6063464,51.2,51.37,50.57
11/28/2016,51.01,8356716,51.44,51.44,50.61
11/25/2016,51.52,2736767,51.68,51.74,51.35
11/23/2016,51.34,4148848,51.71,51.85,51.2
11/22/2016,51.71,5227782,51.47,51.75,51.05
11/21/2016,51.28,5357197,51,51.42,50.9527
11/18/2016,51.1,7450657,51.39,51.89,50.96
11/17/2016,51.59,7646913,50.94,51.6725,50.72
11/16/2016,50.68,6659054,50,50.8,49.95
11/15/2016,50.13,9279610,50.46,50.64,49.75
11/14/2016,50.21,8013737,51.18,51.19,50.21
11/11/2016,50.77,6300238,50.22,50.85,50.18
11/10/2016,50.39,12306310,51.29,51.37,50.33
11/9/2016,51.12,9058254,50.07,51.27,49.8
11/8/2016,51.08,8109894,51.1,51.49,50.953
11/7/2016,50.91,8346194,50.48,50.93,50.28
11/4/2016,49.96,9924542,49.8,50.45,49.76
11/3/2016,49.73,7639954,49.98,50,49.31
11/2/2016,49.72,10742290,49.24,50.27,49.01
11/1/2016,49.62,14079990,50.5,50.51,49.14
10/31/2016,50.18,17896880,50.88,51.15,50
10/28/2016,52.02,9096631,52.12,52.5,51.79
10/27/2016,51.89,7936840,52.34,52.34,51.69
10/26/2016,51.97,12386670,50.95,52.27,50.9
10/25/2016,51.05,14919090,50.97,51.44,50.71
10/24/2016,51.87,7569008,52.16,52.29,51.83
10/21/2016,51.77,8238319,51.74,51.87,51.25
10/20/2016,51.89,6572027,51.77,52.36,51.69
10/19/2016,51.8,6983938,51.34,51.84,51.14
10/18/2016,51.22,6804944,51.3,51.66,51.19
10/17/2016,51.03,7886300,51.65,51.75,50.96
10/14/2016,51.62,7130701,52.38,52.5,51.62
10/13/2016,52.03,8418045,52.12,52.32,51.5
10/12/2016,52.44,9285340,52.01,52.71,51.8
10/11/2016,51.82,9184098,51.95,52.25,51.52
10/10/2016,51.79,5463049,52.13,52.25,51.77
10/7/2016,51.79,8394693,52.42,52.46,51.68
10/6/2016,52.03,9185829,52.2,52.33,51.97
10/5/2016,52.12,7170753,52.15,52.64,52.1
10/4/2016,52.14,10732990,52.9,53.06,52.08
