date,close,volume,open,high,low
10/28/2016,167.92,636245,165.53,168.09,165
10/27/2016,165.94,554861,165.22,166.25,164.52
10/26/2016,164.8,425349,164.33,165.479,163.8
10/25/2016,164.89,593369,165.87,166.36,164.6
10/24/2016,166.53,484677,167.17,167.25,166.18
10/21/2016,166.36,798190,165.31,166.515,164.78
10/20/2016,165.4,1071615,164.79,165.72,163.92
10/19/2016,165.02,2134981,159.06,165.04,158.26
10/18/2016,159.45,3543532,158.01,163.73,157.55
10/17/2016,152.01,1147416,151.56,153.38,151.23
10/14/2016,151.12,1169226,153.7,153.86,150.77
10/13/2016,150.31,495047,151.84,151.84,149.67
10/12/2016,152.24,583075,151.95,152.6778,151.23
10/11/2016,152.38,455785,153.5,153.94,151.72
10/10/2016,153.19,805024,151.6,153.38,151.6
10/7/2016,150.84,274963,151.6,151.8,150
10/6/2016,151.13,404102,150.79,151.589,150.23
10/5/2016,150.97,420118,151.96,152.499,150.8
10/4/2016,151.47,382686,151.75,152.79,150.28
10/3/2016,151.58,513234,152.12,153.12,150.95
9/30/2016,151.85,610264,151.73,152.73,151.45
9/29/2016,151.75,442970,152.33,153.215,150.91
9/28/2016,152.78,482080,153.46,153.97,151.42
9/27/2016,153.63,279901,153.46,154.24,153.0501
9/26/2016,153.49,280257,153.9,154.105,152.96
9/23/2016,154.26,497950,153.95,154.86,153.19
9/22/2016,154.08,908937,153.5,155.1,152.56
9/21/2016,152.61,385936,152.45,153.28,150.82
9/20/2016,151.94,279608,151.65,152.78,151.53
9/19/2016,151.51,551312,150.94,152.35,150.67
9/16/2016,150.03,955450,151.57,151.75,149.8
9/15/2016,151.79,544374,149.96,152.07,149.49
9/14/2016,150.3,486652,150.13,150.78,148.95
9/13/2016,149.66,525336,149.87,151.2899,149.16
9/12/2016,150.21,565175,145.18,150.31,145
9/9/2016,146.13,522176,148.43,148.5,145.65
9/8/2016,149.24,341782,150.42,150.57,148.96
9/7/2016,150.48,327333,149.93,150.7,149.55
9/6/2016,150.18,525708,151.14,151.14,149.28
9/2/2016,151,383215,149.45,151.18,149.45
9/1/2016,149.01,401671,149.17,149.822,148.4
8/31/2016,149.57,392027,148.75,149.9,148.39
8/30/2016,149.43,454435,150.05,150.3,148.23
8/29/2016,149.99,388741,148.35,150.58,148
8/26/2016,148.35,601538,150.55,150.78,147.15
8/25/2016,150.24,269567,149.17,150.67,149.0301
8/24/2016,149.82,610576,150.64,150.84,149.51
8/23/2016,150.48,374642,150.5,151.2,149.76
8/22/2016,150.07,850459,147.32,150.44,147.28
8/19/2016,147.28,516760,147.12,148,146.13
8/18/2016,147.13,679836,144.32,147.819,144.32
8/17/2016,144.57,327876,144.2,144.685,143.47
8/16/2016,143.97,349488,145.08,145.59,143.53
8/15/2016,145.15,330052,145.95,146.97,144.81
8/12/2016,146.13,189709,145.12,146.7,144.84
8/11/2016,146.02,228967,145.54,146.715,145.08
8/10/2016,145,152471,144.76,145.4,144.555
8/9/2016,144.92,296023,144.5,145.77,144.5
8/8/2016,144.7,413637,145.82,145.95,144.29
8/5/2016,146.18,393690,146.8,147.37,146.11
8/4/2016,146.5,311564,146.21,147.3999,145.84
8/3/2016,146.16,350641,145.66,146.17,144.805
8/2/2016,145.45,476210,147.04,147.33,144.64
8/1/2016,147.52,487952,146.94,148.03,146.31
7/29/2016,147.3,432425,147.2,147.71,146.11
7/28/2016,147.25,329694,147.27,147.78,146.36
7/27/2016,147.23,571769,146.42,147.3,145.42
7/26/2016,146.13,1048204,146.85,147.88,145.67
7/25/2016,147.69,1047432,148.13,149.13,147.3
7/22/2016,148.78,1213507,145.28,148.989,145.125
7/21/2016,144.66,3245808,144.94,146.73,142.06
7/20/2016,136.89,1332465,136.3,137.87,135.8
7/19/2016,135.55,743941,135.93,136.18,135.09
7/18/2016,135.55,555602,135.97,136.18,134.78
7/15/2016,135.7,666637,135.88,136.27,134.92
7/14/2016,135.64,506422,136.32,136.66,135.22
7/13/2016,135.42,582183,135.24,136.37,135
7/12/2016,135.65,641317,136.04,136.47,135.5
7/11/2016,136,950544,135.59,136.15,134.22
7/8/2016,135.11,546167,134.44,137.02,134.15
7/7/2016,133.86,691484,135.16,135.35,132.5
7/6/2016,134.98,897857,132.91,135.23,132.87
7/5/2016,133.93,806997,132.59,133.95,131.86
7/1/2016,132.59,638203,131.45,132.77,130.96
6/30/2016,131.38,1594150,127.66,131.67,127.66
6/29/2016,126.88,589204,125.18,126.95,125.18
6/28/2016,124.53,538290,123.16,124.57,122.35
6/27/2016,122.08,1114569,124,124.61,120.97
6/24/2016,124.97,852578,125.34,128.09,124.66
6/23/2016,127.25,499305,126.39,127.672,125.54
6/22/2016,125.32,778866,126.05,126.48,124.48
6/21/2016,127.33,497534,127.71,127.92,127.08
6/20/2016,127.49,506244,128.44,128.827,127.08
6/17/2016,127.29,739517,126.59,127.72,126.02
6/16/2016,126.95,509513,125.38,127.31,124.47
6/15/2016,126.38,454822,126.58,127.52,126.08
6/14/2016,126.36,626822,124.34,126.63,123.84
6/13/2016,124.79,501546,125.19,126.23,124.69
6/10/2016,126.25,541726,126.65,127.08,125.73
6/9/2016,127.48,548667,126,127.58,126
6/8/2016,126.39,903975,124.71,126.41,124.36
6/7/2016,124.82,720653,124.33,125.14,123.45
6/6/2016,124.36,601430,122.03,124.69,121.8
6/3/2016,122.21,550075,123.07,123.07,121.23
6/2/2016,123.25,694589,121.11,123.25,120.79
6/1/2016,121.4,1108522,120.6,121.87,120.351
5/31/2016,120.88,3110425,122.48,123.12,120.59
5/27/2016,122.18,596571,123.43,123.49,121.97
5/26/2016,123,998293,121.29,123.18,121.12
5/25/2016,121.29,932543,123.39,123.49,121.1101
5/24/2016,122.52,1313890,121.94,123.29,121.83
5/23/2016,121.88,1134971,123,123.315,121.8
5/20/2016,123.06,776408,121.41,123.16,121.41
5/19/2016,120.82,537961,119.99,121.965,119.94
5/18/2016,121.13,803398,120.7,122.42,118.82
5/17/2016,121.07,594729,122.45,122.81,120.6
5/16/2016,123.17,796749,122.26,123.43,121.3774
5/13/2016,121.95,1023738,121.03,123.682,120.71
5/12/2016,121.46,579807,120.4,122,120.095
5/11/2016,119.83,575599,121.94,122.05,119.345
5/10/2016,122.22,649918,121.75,122.47,120.51
5/9/2016,121.51,620338,119.23,122.34,119.23
5/6/2016,119.31,661881,119.29,120.24,117.6
5/5/2016,119.93,1066355,119.11,120.45,117.72
5/4/2016,119.02,861308,117.69,119.75,116.91
5/3/2016,118.56,1123720,119.94,120.04,118.0796
5/2/2016,120.37,1359156,120.92,121.65,119.12
4/29/2016,120.88,1495337,121.06,121.5,119.02
4/28/2016,120.47,4548203,121.03,124.89,120.08
4/27/2016,133.63,1234053,133.85,134.52,131.6274
4/26/2016,133.81,786649,134,134.7512,132.9801
4/25/2016,133.67,723883,132.48,134.13,132.45
4/22/2016,132.41,1475827,135.34,136.16,131.73
4/21/2016,137.9,550354,140.37,140.48,137.85
4/20/2016,140.01,776906,137.99,140.8,137.7866
4/19/2016,137.52,333961,138.49,138.8022,136.795
4/18/2016,138.65,269800,138.12,139.04,137.7
4/15/2016,138.62,366533,137.42,138.65,136.7
4/14/2016,137.27,404252,137.55,137.94,136.37
4/13/2016,137.14,517773,136.92,137.67,136.22
4/12/2016,136.74,589025,136.46,137.09,135.3
4/11/2016,137.24,635925,137.94,139.42,137.12
4/8/2016,137.05,559898,137,137.71,135.69
4/7/2016,136.26,841579,135.27,137.61,135.27
4/6/2016,135.94,964173,132.68,136.08,132.42
4/5/2016,132.32,623567,131.97,133.28,131.195
4/4/2016,133.36,582988,133.85,134.39,132.7
4/1/2016,133.47,676621,131.49,134.1,131.2362
3/31/2016,131.86,883939,130.83,132.17,129.8
3/30/2016,130.97,712867,130.78,131.3385,130
3/29/2016,130.09,644473,129.25,130.16,128.69
3/28/2016,129.15,465187,129.38,130.13,128.53
3/24/2016,128.74,690513,129.85,129.85,128.42
3/23/2016,130.12,627610,131.06,131.5095,130
3/22/2016,130.73,584361,131.58,131.98,130.3
3/21/2016,131.17,739067,131,131.66,130.91
3/18/2016,130.81,1129902,130.93,132.09,130.16
3/17/2016,131.27,383137,131.54,131.99,130.94
3/16/2016,131.85,520214,130.81,132.29,130.61
3/15/2016,131.2,601924,131.61,132.6379,131.17
3/14/2016,132.65,703363,131.99,132.84,131.17
3/11/2016,131.72,972490,133.58,133.8,131.51
3/10/2016,133.01,738880,134.58,135.47,131.49
3/9/2016,133.78,840823,134.56,136.33,133.36
3/8/2016,134.24,800615,133.14,135.99,133.06
3/7/2016,134.02,994593,132.46,134.56,131.8283
3/4/2016,132.99,1488163,132.91,133.96,131.99
3/3/2016,132.84,1109291,132.15,133.24,130.51
3/2/2016,133.06,1112933,133.39,133.75,131.76
3/1/2016,134.15,1545152,133.76,134.97,131.65
2/29/2016,133.04,1789577,133.58,135.43,131
2/26/2016,134.39,2031284,133.03,135.28,132.51
2/25/2016,132.9,4694288,126.9,133.92,124.48
2/24/2016,117.61,2304444,117,119,115.85
2/23/2016,117.62,1344834,115.13,118.05,115.035
2/22/2016,115.09,814503,114.21,115.86,113.42
